filename,snr,siib_score_gaussian
ALL_049_F_ENG_ENG_HT1_S011,2,49.40681556544368
ALL_049_F_ENG_ENG_HT1_S011,4,60.54339334428218
ALL_049_F_ENG_ENG_HT1_S011,8,85.67148488953839
ALL_049_F_ENG_ENG_HT1_S011,6,72.61596587621258
ALL_049_F_ENG_ENG_HT1_S011,n4,23.233728423619585
ALL_049_F_ENG_ENG_HT1_S011,n2,30.601471689203088
ALL_049_F_ENG_ENG_HT1_S012,0,32.372432117015435
ALL_049_F_ENG_ENG_HT1_S012,2,40.73515319088529
ALL_049_F_ENG_ENG_HT1_S012,4,50.69623304518476
ALL_049_F_ENG_ENG_HT1_S013,2,43.376243549488606
ALL_049_F_ENG_ENG_HT1_S012,6,62.42190841208178
ALL_049_F_ENG_ENG_HT1_S012,n4,19.530592526699994
ALL_049_F_ENG_ENG_HT1_S012,n2,25.35966717717173
ALL_049_F_ENG_ENG_HT1_S012,8,76.21320996394098
ALL_049_F_ENG_ENG_HT1_S013,0,36.59980863670731
ALL_049_F_ENG_ENG_HT1_S013,6,59.56060996890591
ALL_049_F_ENG_ENG_HT1_S013,8,69.33511224697246
ALL_049_F_ENG_ENG_HT1_S014,0,41.25614450517957
ALL_049_F_ENG_ENG_HT1_S013,n4,24.988737488456866
ALL_049_F_ENG_ENG_HT1_S013,n2,30.485954585728994
ALL_049_F_ENG_ENG_HT1_S013,4,50.95991871264374
ALL_049_F_ENG_ENG_HT1_S014,2,48.79341351578174
ALL_049_F_ENG_ENG_HT1_S014,4,57.263251957237465
ALL_049_F_ENG_ENG_HT1_S014,6,66.86746940691499
ALL_049_F_ENG_ENG_HT1_S015,0,44.41980784022986
ALL_049_F_ENG_ENG_HT1_S014,n4,28.50109646997847
ALL_049_F_ENG_ENG_HT1_S014,n2,34.53423314528709
ALL_049_F_ENG_ENG_HT1_S014,8,77.90632691189458
ALL_049_F_ENG_ENG_HT1_S015,2,52.26290586463898
ALL_049_F_ENG_ENG_HT1_S015,6,70.78577196516275
ALL_049_F_ENG_ENG_HT1_S015,4,61.10866738729269
ALL_049_F_ENG_ENG_HT1_S015,n4,32.08762668984222
ALL_049_F_ENG_ENG_HT1_S015,8,81.24116722070403
ALL_049_F_ENG_ENG_HT1_S015,n2,37.75642206242502
ALL_049_F_ENG_ENG_HT1_S016,2,50.16414611818813
ALL_049_F_ENG_ENG_HT1_S016,0,42.139710667455965
ALL_049_F_ENG_ENG_HT1_S016,4,59.87347799399173
ALL_049_F_ENG_ENG_HT1_S016,8,84.38451156278025
ALL_049_F_ENG_ENG_HT1_S016,n4,30.381039934664948
ALL_049_F_ENG_ENG_HT1_S016,6,71.3215835875265
ALL_049_F_ENG_ENG_HT1_S017,0,43.38343387932046
ALL_049_F_ENG_ENG_HT1_S016,n2,35.62396212234616
ALL_049_F_ENG_ENG_HT1_S017,4,65.91005627238712
ALL_049_F_ENG_ENG_HT1_S017,2,53.98268033961933
ALL_049_F_ENG_ENG_HT1_S017,n2,34.29715974711739
ALL_049_F_ENG_ENG_HT1_S017,8,93.50652220608063
ALL_049_F_ENG_ENG_HT1_S017,6,79.12905293385673
ALL_049_F_ENG_ENG_HT1_S017,n4,26.724481817557265
ALL_049_F_ENG_ENG_HT1_S018,0,51.9733720985345
ALL_049_F_ENG_ENG_HT1_S018,2,63.288495723144194
ALL_049_F_ENG_ENG_HT1_S018,4,75.93494922438856
ALL_049_F_ENG_ENG_HT1_S018,8,105.55907339668626
ALL_049_F_ENG_ENG_HT1_S018,6,89.99163374739922
ALL_049_F_ENG_ENG_HT1_S018,n2,41.89736031557697
ALL_049_F_ENG_ENG_HT1_S019,2,78.0483488876657
ALL_049_F_ENG_ENG_HT1_S019,0,64.72304264693976
ALL_049_F_ENG_ENG_HT1_S018,n4,33.154864303915865
ALL_049_F_ENG_ENG_HT1_S019,4,92.51989015845909
ALL_049_F_ENG_ENG_HT1_S019,6,107.82882796285915
ALL_049_F_ENG_ENG_HT1_S019,8,124.08128640445389
