filename,snr,siib_score
ALL_049_F_ENG_ENG_HT1_S032,2,254.49438528405403
ALL_049_F_ENG_ENG_HT1_S032,6,289.72134204090173
ALL_049_F_ENG_ENG_HT1_S032,4,270.74321942982635
ALL_049_F_ENG_ENG_HT1_S032,n2,231.75981881138503
ALL_049_F_ENG_ENG_HT1_S032,n4,222.63442877631988
ALL_049_F_ENG_ENG_HT1_S033,2,218.25020035696036
ALL_049_F_ENG_ENG_HT1_S033,0,207.04497029409248
ALL_049_F_ENG_ENG_HT1_S033,4,232.627199766014
ALL_049_F_ENG_ENG_HT1_S033,6,245.82782575117182
ALL_049_F_ENG_ENG_HT1_S033,n4,193.4806289715499
ALL_049_F_ENG_ENG_HT1_S033,8,260.2311126433517
ALL_049_F_ENG_ENG_HT1_S034,0,247.520252237681
ALL_049_F_ENG_ENG_HT1_S034,2,256.86614468130387
ALL_049_F_ENG_ENG_HT1_S033,n2,200.63299401330482
ALL_049_F_ENG_ENG_HT1_S034,8,293.57120519261605
ALL_049_F_ENG_ENG_HT1_S034,n2,241.11678284563294
ALL_049_F_ENG_ENG_HT1_S034,4,268.4584685399616
ALL_049_F_ENG_ENG_HT1_S034,6,281.02016147391464
ALL_049_F_ENG_ENG_HT1_S035,0,224.96399235666644
ALL_049_F_ENG_ENG_HT1_S035,2,234.27331498909996
ALL_049_F_ENG_ENG_HT1_S035,6,259.2266217131784
ALL_049_F_ENG_ENG_HT1_S035,4,245.48774686675876
ALL_049_F_ENG_ENG_HT1_S034,n4,235.02349296098694
ALL_049_F_ENG_ENG_HT1_S036,0,225.63843084496654
ALL_049_F_ENG_ENG_HT1_S035,8,272.3028509019978
ALL_049_F_ENG_ENG_HT1_S035,n2,218.1329048791511
ALL_049_F_ENG_ENG_HT1_S035,n4,209.1051085578202
ALL_049_F_ENG_ENG_HT1_S036,2,235.497089645657
ALL_049_F_ENG_ENG_HT1_S036,4,247.47724859781368
ALL_049_F_ENG_ENG_HT1_S036,8,270.11746697739454
ALL_049_F_ENG_ENG_HT1_S036,6,260.6509129501053
ALL_049_F_ENG_ENG_HT1_S036,n4,215.6221859129427
ALL_049_F_ENG_ENG_HT1_S037,2,212.4270064408285
ALL_049_F_ENG_ENG_HT1_S037,6,231.69515112161577
ALL_049_F_ENG_ENG_HT1_S036,n2,220.692979502364
ALL_049_F_ENG_ENG_HT1_S037,4,221.29297088166123
ALL_049_F_ENG_ENG_HT1_S037,0,205.88411243259247
ALL_049_F_ENG_ENG_HT1_S038,0,234.6282963271325
ALL_049_F_ENG_ENG_HT1_S037,n4,195.90249120125898
ALL_049_F_ENG_ENG_HT1_S037,n2,201.06615747648087
ALL_049_F_ENG_ENG_HT1_S037,8,243.4931680027991
ALL_049_F_ENG_ENG_HT1_S038,4,260.27995326254813
ALL_049_F_ENG_ENG_HT1_S038,2,246.7907643929862
ALL_049_F_ENG_ENG_HT1_S038,6,274.3014154757593
ALL_049_F_ENG_ENG_HT1_S039,0,191.1810753596606
ALL_049_F_ENG_ENG_HT1_S038,8,290.681330963902
ALL_049_F_ENG_ENG_HT1_S038,n4,212.0898747930202
ALL_049_F_ENG_ENG_HT1_S038,n2,222.84329766767974
ALL_049_F_ENG_ENG_HT1_S039,6,221.27809219771905
ALL_049_F_ENG_ENG_HT1_S039,2,202.9510217915688
ALL_049_F_ENG_ENG_HT1_S039,4,210.04815350782542
ALL_049_F_ENG_ENG_HT1_S039,n2,185.55832232019318
ALL_049_F_ENG_ENG_HT1_S039,n4,179.61536449274868
ALL_049_F_ENG_ENG_HT1_S039,8,234.72327958375837
ALL_049_F_ENG_ENG_HT1_S040,0,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S040,4,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S040,2,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S040,6,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S040,8,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S040,n2,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S040,n4,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S041,0,226.92967225080235
ALL_049_F_ENG_ENG_HT1_S041,2,239.2844673207383
ALL_049_F_ENG_ENG_HT1_S041,4,253.04505580800048
ALL_049_F_ENG_ENG_HT1_S041,6,269.9863404320623
ALL_049_F_ENG_ENG_HT1_S041,8,289.21917879761475
ALL_049_F_ENG_ENG_HT1_S041,n2,214.98303060192248
ALL_049_F_ENG_ENG_HT1_S042,4,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S042,2,1335.7624872954837
ALL_049_F_ENG_ENG_HT1_S042,0,1335.7624872954837
