CleanFile,Degradation,MIKNNScore2x,MIKNNScore2xRaw
ALL_049_F_ENG_ENG_HT1_S010,8,49.5974502698972,1.80377858778506
ALL_049_F_ENG_ENG_HT1_S010,n2,37.2888564779187,1.35613505355301
ALL_049_F_ENG_ENG_HT1_S010,n4,35.9441696660152,1.30723098156162
ALL_049_F_ENG_ENG_HT1_S011,0,42.7636196000739,1.58129584044783
ALL_049_F_ENG_ENG_HT1_S011,2,44.9518158032457,1.6622100751763
ALL_049_F_ENG_ENG_HT1_S011,4,47.5171041744622,1.75706827167347
ALL_049_F_ENG_ENG_HT1_S011,6,50.3651097277293,1.86238066985376
ALL_049_F_ENG_ENG_HT1_S011,8,53.401765823074,1.97466891152615
ALL_049_F_ENG_ENG_HT1_S011,n2,40.9962932976872,1.51594436279431
ALL_049_F_ENG_ENG_HT1_S011,n4,39.6624354010933,1.46662150464156
ALL_049_F_ENG_ENG_HT1_S012,0,43.0949841884664,1.60778317513803
ALL_049_F_ENG_ENG_HT1_S012,2,45.5348999394957,1.69881129748525
ALL_049_F_ENG_ENG_HT1_S012,4,48.2382256490463,1.79966669109035
ALL_049_F_ENG_ENG_HT1_S012,6,51.0308242442985,1.90385266820372
ALL_049_F_ENG_ENG_HT1_S012,8,54.0298930322204,2.01574161372961
ALL_049_F_ENG_ENG_HT1_S012,n2,41.0057930707385,1.52983985082815
ALL_049_F_ENG_ENG_HT1_S012,n4,39.4106099291749,1.47032692456616
ALL_049_F_ENG_ENG_HT1_S013,0,45.0683064125655,1.7142546993075
ALL_049_F_ENG_ENG_HT1_S013,2,47.3556262397269,1.80125705361468
ALL_049_F_ENG_ENG_HT1_S013,4,49.7980471744269,1.8941589595942
ALL_049_F_ENG_ENG_HT1_S013,6,52.1231320446202,1.98259777574431
ALL_049_F_ENG_ENG_HT1_S013,8,54.7064138943506,2.08085758187053
ALL_049_F_ENG_ENG_HT1_S013,n2,43.0536028720201,1.63762179944933
ALL_049_F_ENG_ENG_HT1_S013,n4,41.432043681767,1.57594285734198
ALL_049_F_ENG_ENG_HT1_S014,0,47.0330792394716,1.78033579169101
ALL_049_F_ENG_ENG_HT1_S014,2,49.6143279599631,1.87804339575728
ALL_049_F_ENG_ENG_HT1_S014,4,52.6339004348161,1.99234280033622
ALL_049_F_ENG_ENG_HT1_S014,6,55.8134841916646,2.11269908694409
ALL_049_F_ENG_ENG_HT1_S014,8,58.9765213768646,2.23242903876352
ALL_049_F_ENG_ENG_HT1_S014,n2,44.8244755648492,1.6967338622581
ALL_049_F_ENG_ENG_HT1_S014,n4,43.1472853107232,1.6332474419093
ALL_049_F_ENG_ENG_HT1_S015,0,43.9144302723433,1.6451691932215
ALL_049_F_ENG_ENG_HT1_S015,2,45.9716929654664,1.72224056097238
ALL_049_F_ENG_ENG_HT1_S015,4,48.2015048030587,1.80577614868551
ALL_049_F_ENG_ENG_HT1_S015,6,50.6610460794921,1.89791810549449
ALL_049_F_ENG_ENG_HT1_S015,8,53.2044218223372,1.99320075843945
ALL_049_F_ENG_ENG_HT1_S015,n2,42.0698219415792,1.57606450985177
ALL_049_F_ENG_ENG_HT1_S015,n4,40.4505041042733,1.51539989907467
ALL_049_F_ENG_ENG_HT1_S016,0,44.7920353845321,1.70258653894722
ALL_049_F_ENG_ENG_HT1_S016,2,46.7159767423093,1.77571732278757
ALL_049_F_ENG_ENG_HT1_S016,4,48.7759358601074,1.85401826702096
ALL_049_F_ENG_ENG_HT1_S016,6,51.0196026679078,1.93930210983028
ALL_049_F_ENG_ENG_HT1_S016,8,53.4974895268671,2.03348887260809
ALL_049_F_ENG_ENG_HT1_S016,n2,43.2641851884077,1.64451154514269
ALL_049_F_ENG_ENG_HT1_S016,n4,41.8527337854058,1.59086097672134
ALL_049_F_ENG_ENG_HT1_S017,0,45.7693775356327,1.74169468459717
ALL_049_F_ENG_ENG_HT1_S017,2,48.0077279486951,1.82687222527186
ALL_049_F_ENG_ENG_HT1_S017,4,50.6688331016781,1.92813715282077
ALL_049_F_ENG_ENG_HT1_S017,6,53.683499001462,2.04285637899775
ALL_049_F_ENG_ENG_HT1_S017,8,56.9054562943711,2.16546381202849
ALL_049_F_ENG_ENG_HT1_S017,n2,44.0147932460864,1.67492624038135
ALL_049_F_ENG_ENG_HT1_S017,n4,42.6089488883745,1.62142864489206
ALL_049_F_ENG_ENG_HT1_S018,0,49.988052218034,1.95237994305294
ALL_049_F_ENG_ENG_HT1_S018,2,52.3308222385695,2.04388135181615
ALL_049_F_ENG_ENG_HT1_S018,4,54.9402949467169,2.145799349243
ALL_049_F_ENG_ENG_HT1_S018,6,57.7797077887509,2.25669810278223
ALL_049_F_ENG_ENG_HT1_S018,8,60.5821030076184,2.36615106154046
ALL_049_F_ENG_ENG_HT1_S018,n2,47.7769028486833,1.86601923307798
ALL_049_F_ENG_ENG_HT1_S018,n4,45.8969272161189,1.79259315313317
ALL_049_F_ENG_ENG_HT1_S019,0,55.4126513888542,2.16988555585336
ALL_049_F_ENG_ENG_HT1_S019,2,58.1934599337575,2.27877831127912
ALL_049_F_ENG_ENG_HT1_S019,4,61.2918892609713,2.40010867310884
ALL_049_F_ENG_ENG_HT1_S019,6,64.616938601826,2.5303131725577
ALL_049_F_ENG_ENG_HT1_S019,8,67.8947727698121,2.65866878878123
ALL_049_F_ENG_ENG_HT1_S019,n2,52.6667482467647,2.06235964946819
ALL_049_F_ENG_ENG_HT1_S019,n4,50.2711783119505,1.96855232443852
ALL_049_F_ENG_ENG_HT1_S020,0,51.273562019407,1.99180557728914
ALL_049_F_ENG_ENG_HT1_S020,2,54.0128619447429,2.09821817384497
ALL_049_F_ENG_ENG_HT1_S020,4,57.0713478146193,2.21703007170715
ALL_049_F_ENG_ENG_HT1_S020,6,60.0517649732799,2.33280926249209
ALL_049_F_ENG_ENG_HT1_S020,8,63.0671694201023,2.44994759184572
ALL_049_F_ENG_ENG_HT1_S020,n2,48.9858489420905,1.90293561220047
ALL_049_F_ENG_ENG_HT1_S020,n4,47.2207800574834,1.8343686176287
ALL_049_F_ENG_ENG_HT1_S021,0,45.8863105263466,1.66953255448784
ALL_049_F_ENG_ENG_HT1_S021,2,48.5644668077235,1.76697488633968
ALL_049_F_ENG_ENG_HT1_S021,4,51.4024542772044,1.87023253366799
ALL_049_F_ENG_ENG_HT1_S021,6,54.3545836545866,1.97764313269119
ALL_049_F_ENG_ENG_HT1_S021,8,57.3751663497508,2.08754434473577
ALL_049_F_ENG_ENG_HT1_S021,n2,43.5218721008752,1.58350456751033
ALL_049_F_ENG_ENG_HT1_S021,n4,41.3543314485823,1.5046405307057
ALL_049_F_ENG_ENG_HT1_S022,0,43.2949634427228,1.62497898309395
ALL_049_F_ENG_ENG_HT1_S022,2,45.9309681804532,1.72391548650075
ALL_049_F_ENG_ENG_HT1_S022,4,48.9675146419587,1.83788542177192
ALL_049_F_ENG_ENG_HT1_S022,6,52.0303233558396,1.95284105156192
ALL_049_F_ENG_ENG_HT1_S022,8,55.1138223433363,2.06857324419219
ALL_049_F_ENG_ENG_HT1_S022,n2,41.1649476539927,1.54503363575757
ALL_049_F_ENG_ENG_HT1_S022,n4,39.493101859739,1.48228466768809
ALL_049_F_ENG_ENG_HT1_S023,0,44.1718359574118,1.65504142605834
ALL_049_F_ENG_ENG_HT1_S023,2,46.3327624054776,1.73600756008234
ALL_049_F_ENG_ENG_HT1_S023,4,48.8546762061079,1.83049925875241
ALL_049_F_ENG_ENG_HT1_S023,6,51.6199978755042,1.93411102448568
ALL_049_F_ENG_ENG_HT1_S023,8,54.4589310308146,2.04048088383178
ALL_049_F_ENG_ENG_HT1_S023,n2,42.4455645320596,1.59036105541825
ALL_049_F_ENG_ENG_HT1_S023,n4,40.9881577151931,1.53575457134864
ALL_049_F_ENG_ENG_HT1_S024,0,48.6440470965899,1.87702661364624
ALL_049_F_ENG_ENG_HT1_S024,2,51.1648662708283,1.97429739929529
ALL_049_F_ENG_ENG_HT1_S024,4,53.9810526211355,2.08296551068861
ALL_049_F_ENG_ENG_HT1_S024,6,57.0508436601299,2.20141945978301
ALL_049_F_ENG_ENG_HT1_S024,8,60.3919634005683,2.33034316260998
ALL_049_F_ENG_ENG_HT1_S024,n2,46.6333452698692,1.79943971316964
ALL_049_F_ENG_ENG_HT1_S024,n4,45.0388507903282,1.73791299506028
ALL_049_F_ENG_ENG_HT1_S025,0,42.4149338932522,1.57806660762072
ALL_049_F_ENG_ENG_HT1_S025,2,44.7670615080614,1.66557856874117
ALL_049_F_ENG_ENG_HT1_S025,4,47.3481808525892,1.76161026970137
ALL_049_F_ENG_ENG_HT1_S025,6,50.2231845995998,1.86857607144847
ALL_049_F_ENG_ENG_HT1_S025,8,53.3571404107177,1.98517630069156
ALL_049_F_ENG_ENG_HT1_S025,n2,40.60688757774,1.51079743486373
ALL_049_F_ENG_ENG_HT1_S025,n4,39.1355134861283,1.45605430294858
ALL_049_F_ENG_ENG_HT1_S026,0,49.2975763628941,1.91710149794926
ALL_049_F_ENG_ENG_HT1_S026,2,51.9021340336918,2.01838845322318
ALL_049_F_ENG_ENG_HT1_S026,4,54.6869948517811,2.12668710073961
ALL_049_F_ENG_ENG_HT1_S026,6,57.3935364191438,2.23194004167239
ALL_049_F_ENG_ENG_HT1_S026,8,60.1996638454509,2.34106571253314
ALL_049_F_ENG_ENG_HT1_S026,n2,47.1399821447826,1.83319621471465
ALL_049_F_ENG_ENG_HT1_S026,n4,45.4103865756695,1.76593509355964
ALL_049_F_ENG_ENG_HT1_S027,0,46.7493257083778,1.73389689813722
ALL_049_F_ENG_ENG_HT1_S027,2,49.1038969102697,1.82122615137331
ALL_049_F_ENG_ENG_HT1_S027,4,51.5982985035102,1.91374160736529
ALL_049_F_ENG_ENG_HT1_S027,6,54.1787211478675,2.00944751865146
ALL_049_F_ENG_ENG_HT1_S027,8,56.7784521205917,2.10586956113645
ALL_049_F_ENG_ENG_HT1_S027,n2,44.6365869968155,1.65553702784938
ALL_049_F_ENG_ENG_HT1_S027,n4,42.7195169942161,1.5844343610055
ALL_049_F_ENG_ENG_HT1_S028,0,46.0488639866013,1.74928586788783
ALL_049_F_ENG_ENG_HT1_S028,2,47.8539723772407,1.81785760504664
ALL_049_F_ENG_ENG_HT1_S028,4,49.9821235766961,1.89870096350645
ALL_049_F_ENG_ENG_HT1_S028,6,52.1581724431125,1.98136383942372
ALL_049_F_ENG_ENG_HT1_S028,8,54.657758432734,2.07631711445972
ALL_049_F_ENG_ENG_HT1_S028,n2,44.3540778103196,1.68490500698051
ALL_049_F_ENG_ENG_HT1_S028,n4,43.0386551509986,1.63493525595866
ALL_049_F_ENG_ENG_HT1_S029,0,52.2939922704442,2.0240992292225
ALL_049_F_ENG_ENG_HT1_S029,2,55.0312872448294,2.13004938539252
ALL_049_F_ENG_ENG_HT1_S029,4,57.9089474846407,2.24143254090383
ALL_049_F_ENG_ENG_HT1_S029,6,60.7034964975936,2.34959878061048
ALL_049_F_ENG_ENG_HT1_S029,8,63.4264798498262,2.4549949889538
ALL_049_F_ENG_ENG_HT1_S029,n2,49.7707181316514,1.9264329961104
ALL_049_F_ENG_ENG_HT1_S029,n4,47.6575722292,1.84464124897687
ALL_049_F_ENG_ENG_HT1_S030,0,48.0403997499273,1.82280965420784
ALL_049_F_ENG_ENG_HT1_S030,2,50.6764193778397,1.92282884745878
ALL_049_F_ENG_ENG_HT1_S030,4,53.6312188774654,2.03494359009629
ALL_049_F_ENG_ENG_HT1_S030,6,56.8072622992871,2.15545304966815
ALL_049_F_ENG_ENG_HT1_S030,8,60.1486529514156,2.28223632313974
ALL_049_F_ENG_ENG_HT1_S030,n2,45.7578164482027,1.73620098940539
ALL_049_F_ENG_ENG_HT1_S030,n4,43.9820576908419,1.66882290297583
ALL_049_F_ENG_ENG_HT1_S031,0,43.4703485634056,1.64033614640879
ALL_049_F_ENG_ENG_HT1_S031,2,45.4892404546004,1.71651822118531
ALL_049_F_ENG_ENG_HT1_S031,4,47.8842306814936,1.80689221562748
ALL_049_F_ENG_ENG_HT1_S031,6,50.4754937118574,1.90467248549025
ALL_049_F_ENG_ENG_HT1_S031,8,53.2799284982764,2.01049670596319
ALL_049_F_ENG_ENG_HT1_S031,n2,41.8664025548751,1.57981188788248
ALL_049_F_ENG_ENG_HT1_S031,n4,40.7188240391157,1.53650847342983
ALL_049_F_ENG_ENG_HT1_S032,0,46.9348585109276,1.76428208040182
ALL_049_F_ENG_ENG_HT1_S032,2,49.6035712239453,1.86459903387088
ALL_049_F_ENG_ENG_HT1_S032,4,52.4757322882083,1.97256361410983
ALL_049_F_ENG_ENG_HT1_S032,6,55.3760229205206,2.08158558526065
ALL_049_F_ENG_ENG_HT1_S032,8,58.3050470146585,2.19168764770001
ALL_049_F_ENG_ENG_HT1_S032,n2,44.7440385867544,1.68192912449153
