filename,snr,score
ALL_049_F_ENG_ENG_HT1_S001,2,0.5818403181579742
ALL_049_F_ENG_ENG_HT1_S001,4,0.6473199904003981
ALL_049_F_ENG_ENG_HT1_S001,6,0.7142518457321486
ALL_049_F_ENG_ENG_HT1_S001,8,0.7780972395208076
ALL_049_F_ENG_ENG_HT1_S002,0,0.7186011087829433
ALL_049_F_ENG_ENG_HT1_S002,2,0.7594933590355961
ALL_049_F_ENG_ENG_HT1_S002,4,0.8008323164916884
ALL_049_F_ENG_ENG_HT1_S001,0,0.5226101350097849
ALL_049_F_ENG_ENG_HT1_S001,n4,0.4380213245550693
ALL_049_F_ENG_ENG_HT1_S001,n2,0.47416052624798993
ALL_049_F_ENG_ENG_HT1_S002,6,0.8392805503032681
ALL_049_F_ENG_ENG_HT1_S002,8,0.8722192309715068
ALL_049_F_ENG_ENG_HT1_S002,n2,0.6797187423727141
ALL_049_F_ENG_ENG_HT1_S003,6,0.701094751028177
ALL_049_F_ENG_ENG_HT1_S002,n4,0.6421292283708374
ALL_049_F_ENG_ENG_HT1_S003,8,0.7512542187221428
ALL_049_F_ENG_ENG_HT1_S003,2,0.5951332545708238
ALL_049_F_ENG_ENG_HT1_S003,n2,0.5007121737175372
ALL_049_F_ENG_ENG_HT1_S003,0,0.5453386690964437
ALL_049_F_ENG_ENG_HT1_S003,4,0.648179523408413
ALL_049_F_ENG_ENG_HT1_S003,n4,0.4625392569230322
ALL_049_F_ENG_ENG_HT1_S004,0,0.5972185143616433
ALL_049_F_ENG_ENG_HT1_S004,8,0.806518775176971
ALL_049_F_ENG_ENG_HT1_S004,6,0.7590625715331383
ALL_049_F_ENG_ENG_HT1_S004,4,0.706978329932345
ALL_049_F_ENG_ENG_HT1_S004,n2,0.5447742144460892
ALL_049_F_ENG_ENG_HT1_S004,n4,0.49629610987351586
ALL_049_F_ENG_ENG_HT1_S004,2,0.6520175908270283
ALL_049_F_ENG_ENG_HT1_S005,0,0.6938183851088888
ALL_049_F_ENG_ENG_HT1_S005,2,0.7377039534215682
ALL_049_F_ENG_ENG_HT1_S005,4,0.7784693499846016
ALL_049_F_ENG_ENG_HT1_S005,6,0.8155736324252422
ALL_049_F_ENG_ENG_HT1_S006,0,0.6279872853624385
ALL_049_F_ENG_ENG_HT1_S006,4,0.743847425068887
ALL_049_F_ENG_ENG_HT1_S006,6,0.7969784070382343
ALL_049_F_ENG_ENG_HT1_S006,8,0.8442983820586655
ALL_049_F_ENG_ENG_HT1_S005,n2,0.6473677569189514
ALL_049_F_ENG_ENG_HT1_S006,2,0.6867381536981484
ALL_049_F_ENG_ENG_HT1_S005,8,0.8486498556286551
ALL_049_F_ENG_ENG_HT1_S005,n4,0.5998094780220716
ALL_049_F_ENG_ENG_HT1_S006,n4,0.5172392903534326
ALL_049_F_ENG_ENG_HT1_S006,n2,0.5706458087712609
ALL_049_F_ENG_ENG_HT1_S007,0,0.6254271080498551
ALL_049_F_ENG_ENG_HT1_S007,2,0.6859587528718742
ALL_049_F_ENG_ENG_HT1_S007,4,0.7432142332377261
ALL_049_F_ENG_ENG_HT1_S008,0,0.5744140045641557
ALL_049_F_ENG_ENG_HT1_S007,n2,0.5643026833995538
ALL_049_F_ENG_ENG_HT1_S007,8,0.8387381300721847
ALL_049_F_ENG_ENG_HT1_S007,6,0.794687086368029
ALL_049_F_ENG_ENG_HT1_S007,n4,0.5062893789766936
ALL_049_F_ENG_ENG_HT1_S008,2,0.632232621835649
ALL_049_F_ENG_ENG_HT1_S008,4,0.6897886247207999
ALL_049_F_ENG_ENG_HT1_S008,6,0.7458719059782748
ALL_049_F_ENG_ENG_HT1_S008,8,0.7996284470120222
ALL_049_F_ENG_ENG_HT1_S008,n2,0.5190274567755583
ALL_049_F_ENG_ENG_HT1_S009,4,0.7493125551113919
ALL_049_F_ENG_ENG_HT1_S009,n2,0.5958398787403636
ALL_049_F_ENG_ENG_HT1_S008,n4,0.46924764435429456
ALL_049_F_ENG_ENG_HT1_S009,0,0.6440177961140594
ALL_049_F_ENG_ENG_HT1_S009,8,0.8483467875062269
ALL_049_F_ENG_ENG_HT1_S009,2,0.6958486052436949
ALL_049_F_ENG_ENG_HT1_S009,6,0.8012655349930499
ALL_049_F_ENG_ENG_HT1_S009,n4,0.5522403905182949
ALL_049_F_ENG_ENG_HT1_S010,0,0.6706143775414517
ALL_049_F_ENG_ENG_HT1_S010,2,0.7260088427062638
ALL_049_F_ENG_ENG_HT1_S010,n2,0.6172919373779189
ALL_049_F_ENG_ENG_HT1_S010,8,0.8662306996986746
ALL_049_F_ENG_ENG_HT1_S011,0,0.6519180604618869
ALL_049_F_ENG_ENG_HT1_S010,4,0.7790212283081124
ALL_049_F_ENG_ENG_HT1_S010,6,0.8263214736258788
ALL_049_F_ENG_ENG_HT1_S010,n4,0.5693643967616786
ALL_049_F_ENG_ENG_HT1_S011,2,0.7047905360130238
ALL_049_F_ENG_ENG_HT1_S011,4,0.7568978589915225
ALL_049_F_ENG_ENG_HT1_S011,n4,0.556167669333772
ALL_049_F_ENG_ENG_HT1_S011,6,0.8066471753438513
ALL_049_F_ENG_ENG_HT1_S012,0,0.6580375557355035
ALL_049_F_ENG_ENG_HT1_S011,8,0.8517988020851265
ALL_049_F_ENG_ENG_HT1_S011,n2,0.6012821868425748
ALL_049_F_ENG_ENG_HT1_S012,6,0.8006690685825775
ALL_049_F_ENG_ENG_HT1_S012,8,0.8405871740711096
ALL_049_F_ENG_ENG_HT1_S012,4,0.756267549084901
ALL_049_F_ENG_ENG_HT1_S012,2,0.7080513222237349
ALL_049_F_ENG_ENG_HT1_S012,n2,0.6083105062509402
ALL_049_F_ENG_ENG_HT1_S013,2,0.7580194584799097
ALL_049_F_ENG_ENG_HT1_S012,n4,0.5610483496544596
ALL_049_F_ENG_ENG_HT1_S013,0,0.7094582564099471
ALL_049_F_ENG_ENG_HT1_S013,6,0.8419381560474918
ALL_049_F_ENG_ENG_HT1_S013,4,0.8020929722695584
ALL_049_F_ENG_ENG_HT1_S014,0,0.703013269342892
ALL_049_F_ENG_ENG_HT1_S013,8,0.8776247472022181
ALL_049_F_ENG_ENG_HT1_S013,n2,0.6584395834185157
ALL_049_F_ENG_ENG_HT1_S013,n4,0.6089826051643691
ALL_049_F_ENG_ENG_HT1_S014,4,0.8242312283971511
ALL_049_F_ENG_ENG_HT1_S014,6,0.873515719621973
ALL_049_F_ENG_ENG_HT1_S014,n2,0.6391114561051714
ALL_049_F_ENG_ENG_HT1_S014,2,0.7661919251138648
ALL_049_F_ENG_ENG_HT1_S014,8,0.9125413320045267
ALL_049_F_ENG_ENG_HT1_S014,n4,0.5790980327608275
ALL_049_F_ENG_ENG_HT1_S015,0,0.7550650550440958
ALL_049_F_ENG_ENG_HT1_S015,6,0.8659833269411278
ALL_049_F_ENG_ENG_HT1_S015,2,0.7952141294363346
ALL_049_F_ENG_ENG_HT1_S015,4,0.8325384911438706
ALL_049_F_ENG_ENG_HT1_S015,8,0.8955069374585601
ALL_049_F_ENG_ENG_HT1_S016,0,0.610165460709862
ALL_049_F_ENG_ENG_HT1_S015,n4,0.6722562672642726
ALL_049_F_ENG_ENG_HT1_S016,4,0.7182032765271258
ALL_049_F_ENG_ENG_HT1_S016,6,0.7684629306874782
ALL_049_F_ENG_ENG_HT1_S016,8,0.8145828844701852
ALL_049_F_ENG_ENG_HT1_S016,n2,0.5554850297031426
ALL_049_F_ENG_ENG_HT1_S016,n4,0.5025696047172016
ALL_049_F_ENG_ENG_HT1_S015,n2,0.7134027673571878
ALL_049_F_ENG_ENG_HT1_S016,2,0.6648504785353331
ALL_049_F_ENG_ENG_HT1_S017,0,0.6611395386318576
ALL_049_F_ENG_ENG_HT1_S017,2,0.7271279513438978
ALL_049_F_ENG_ENG_HT1_S017,4,0.7898494754190802
ALL_049_F_ENG_ENG_HT1_S017,6,0.8458100070057661
ALL_049_F_ENG_ENG_HT1_S018,4,0.8253104314409635
ALL_049_F_ENG_ENG_HT1_S017,n2,0.5954574030276929
ALL_049_F_ENG_ENG_HT1_S018,2,0.7749118797361143
ALL_049_F_ENG_ENG_HT1_S017,8,0.8918525154373524
ALL_049_F_ENG_ENG_HT1_S017,n4,0.5337450869323519
ALL_049_F_ENG_ENG_HT1_S018,0,0.7180636677930534
ALL_049_F_ENG_ENG_HT1_S018,6,0.8680226659745249
ALL_049_F_ENG_ENG_HT1_S018,8,0.9032023018683824
ALL_049_F_ENG_ENG_HT1_S018,n2,0.6568574684723087
ALL_049_F_ENG_ENG_HT1_S018,n4,0.594564087658428
ALL_049_F_ENG_ENG_HT1_S019,0,0.7217573544940701
ALL_049_F_ENG_ENG_HT1_S019,6,0.8651350974753748
ALL_049_F_ENG_ENG_HT1_S019,4,0.8232520853250955
ALL_049_F_ENG_ENG_HT1_S019,2,0.7753110448651483
ALL_049_F_ENG_ENG_HT1_S019,8,0.9008242771609117
ALL_049_F_ENG_ENG_HT1_S019,n2,0.6636447439609471
ALL_049_F_ENG_ENG_HT1_S020,6,0.8688357505568828
ALL_049_F_ENG_ENG_HT1_S020,0,0.7240856734212345
ALL_049_F_ENG_ENG_HT1_S020,4,0.8271703417091484
ALL_049_F_ENG_ENG_HT1_S020,n4,0.6017085822063798
ALL_049_F_ENG_ENG_HT1_S020,8,0.9039137118952172
ALL_049_F_ENG_ENG_HT1_S021,0,0.8067659395171445
ALL_049_F_ENG_ENG_HT1_S021,2,0.8488548224570284
ALL_049_F_ENG_ENG_HT1_S021,4,0.8857563862556576
ALL_049_F_ENG_ENG_HT1_S019,n4,0.602084723117192
ALL_049_F_ENG_ENG_HT1_S021,8,0.9407351301844441
ALL_049_F_ENG_ENG_HT1_S021,n2,0.761419775829107
ALL_049_F_ENG_ENG_HT1_S020,2,0.7789316500579109
ALL_049_F_ENG_ENG_HT1_S021,n4,0.7148474771761195
ALL_049_F_ENG_ENG_HT1_S021,6,0.9164822442139412
ALL_049_F_ENG_ENG_HT1_S020,n2,0.6640236111257214
ALL_049_F_ENG_ENG_HT1_S022,0,0.7127001398133989
ALL_049_F_ENG_ENG_HT1_S022,4,0.8300959783439581
ALL_049_F_ENG_ENG_HT1_S023,0,0.693784759912886
ALL_049_F_ENG_ENG_HT1_S022,n2,0.6479826406677267
ALL_049_F_ENG_ENG_HT1_S023,2,0.7476284924410337
ALL_049_F_ENG_ENG_HT1_S022,2,0.7750406351288402
ALL_049_F_ENG_ENG_HT1_S022,8,0.9120212310495914
ALL_049_F_ENG_ENG_HT1_S023,6,0.841104949494215
ALL_049_F_ENG_ENG_HT1_S022,6,0.8758886235145735
ALL_049_F_ENG_ENG_HT1_S023,4,0.7974236898100048
ALL_049_F_ENG_ENG_HT1_S022,n4,0.5862058521581915
ALL_049_F_ENG_ENG_HT1_S023,8,0.8777161797197935
ALL_049_F_ENG_ENG_HT1_S024,0,0.7212852213043519
ALL_049_F_ENG_ENG_HT1_S023,n2,0.6386302964655629
ALL_049_F_ENG_ENG_HT1_S024,2,0.7761950172563691
ALL_049_F_ENG_ENG_HT1_S024,8,0.9113001022181788
ALL_049_F_ENG_ENG_HT1_S023,n4,0.5853258071910103
ALL_049_F_ENG_ENG_HT1_S024,n4,0.611224784376483
ALL_049_F_ENG_ENG_HT1_S024,n2,0.6653518261617777
ALL_049_F_ENG_ENG_HT1_S024,4,0.8276442268437653
ALL_049_F_ENG_ENG_HT1_S024,6,0.8736024631858389
ALL_049_F_ENG_ENG_HT1_S025,6,0.8266103246655786
ALL_049_F_ENG_ENG_HT1_S025,8,0.8691605927071624
ALL_049_F_ENG_ENG_HT1_S025,2,0.7202337065253621
ALL_049_F_ENG_ENG_HT1_S025,0,0.6592946627532187
ALL_049_F_ENG_ENG_HT1_S025,4,0.7767669189052971
ALL_049_F_ENG_ENG_HT1_S025,n2,0.59776955741164
ALL_049_F_ENG_ENG_HT1_S026,4,0.8661826685156302
ALL_049_F_ENG_ENG_HT1_S026,0,0.767164700020012
ALL_049_F_ENG_ENG_HT1_S026,n2,0.7087687282778415
ALL_049_F_ENG_ENG_HT1_S026,2,0.8209299432384357
ALL_049_F_ENG_ENG_HT1_S025,n4,0.5406910859174975
ALL_049_F_ENG_ENG_HT1_S026,8,0.9296546613707843
ALL_049_F_ENG_ENG_HT1_S027,2,0.7753383838847326
ALL_049_F_ENG_ENG_HT1_S026,n4,0.6516808249693558
ALL_049_F_ENG_ENG_HT1_S026,6,0.902031026798424
ALL_049_F_ENG_ENG_HT1_S027,0,0.7304386575770601
ALL_049_F_ENG_ENG_HT1_S027,4,0.8165091146516353
ALL_049_F_ENG_ENG_HT1_S027,n4,0.6415163131755602
ALL_049_F_ENG_ENG_HT1_S027,6,0.8526869693032924
ALL_049_F_ENG_ENG_HT1_S027,8,0.8838989660416922
ALL_049_F_ENG_ENG_HT1_S027,n2,0.6849534919618853
ALL_049_F_ENG_ENG_HT1_S028,0,0.5558582706289984
ALL_049_F_ENG_ENG_HT1_S028,4,0.6564651216486668
ALL_049_F_ENG_ENG_HT1_S028,2,0.6064262620533221
ALL_049_F_ENG_ENG_HT1_S028,8,0.7520756012403105
ALL_049_F_ENG_ENG_HT1_S028,6,0.704961619439417
ALL_049_F_ENG_ENG_HT1_S028,n2,0.5073849588343453
ALL_049_F_ENG_ENG_HT1_S029,0,0.7633480797609938
ALL_049_F_ENG_ENG_HT1_S029,4,0.8517847553456745
ALL_049_F_ENG_ENG_HT1_S028,n4,0.4643952228792107
ALL_049_F_ENG_ENG_HT1_S029,2,0.8102252635031321
ALL_049_F_ENG_ENG_HT1_S029,n4,0.6534995254782604
ALL_049_F_ENG_ENG_HT1_S029,6,0.8874479864458444
ALL_049_F_ENG_ENG_HT1_S029,n2,0.7106144574323949
ALL_049_F_ENG_ENG_HT1_S029,8,0.9171438276337127
ALL_049_F_ENG_ENG_HT1_S030,0,0.6853813622397085
ALL_049_F_ENG_ENG_HT1_S030,2,0.7417958295670932
ALL_049_F_ENG_ENG_HT1_S030,4,0.7946128756280306
ALL_049_F_ENG_ENG_HT1_S030,8,0.8821813061423088
ALL_049_F_ENG_ENG_HT1_S030,6,0.8418054420944661
ALL_049_F_ENG_ENG_HT1_S030,n2,0.6288087218139247
ALL_049_F_ENG_ENG_HT1_S031,0,0.5671246044778849
ALL_049_F_ENG_ENG_HT1_S030,n4,0.575067724211096
ALL_049_F_ENG_ENG_HT1_S031,2,0.6271798298546141
ALL_049_F_ENG_ENG_HT1_S031,4,0.6886042198129735
ALL_049_F_ENG_ENG_HT1_S031,6,0.7490894661744896
ALL_049_F_ENG_ENG_HT1_S031,8,0.805381888736887
ALL_049_F_ENG_ENG_HT1_S031,n4,0.4553927675958545
ALL_049_F_ENG_ENG_HT1_S031,n2,0.5093251916878986
ALL_049_F_ENG_ENG_HT1_S032,2,0.8147083737870583
ALL_049_F_ENG_ENG_HT1_S032,0,0.7726468870028838
ALL_049_F_ENG_ENG_HT1_S032,4,0.8541659173981747
ALL_049_F_ENG_ENG_HT1_S032,n4,0.6840133436529869
ALL_049_F_ENG_ENG_HT1_S032,n2,0.7286725434244389
ALL_049_F_ENG_ENG_HT1_S032,8,0.9182657409033645
ALL_049_F_ENG_ENG_HT1_S032,6,0.889037380893905
ALL_049_F_ENG_ENG_HT1_S033,0,0.7151303227798104
ALL_049_F_ENG_ENG_HT1_S033,4,0.8163713255910982
ALL_049_F_ENG_ENG_HT1_S033,6,0.8616088944155422
ALL_049_F_ENG_ENG_HT1_S033,2,0.7665864486374281
ALL_049_F_ENG_ENG_HT1_S033,8,0.8999176517937554
ALL_049_F_ENG_ENG_HT1_S033,n2,0.6643450453559879
ALL_049_F_ENG_ENG_HT1_S033,n4,0.6157114364450944
ALL_049_F_ENG_ENG_HT1_S034,0,0.7100719725108967
ALL_049_F_ENG_ENG_HT1_S034,4,0.8105867546020832
ALL_049_F_ENG_ENG_HT1_S034,2,0.7609957226208753
ALL_049_F_ENG_ENG_HT1_S034,n2,0.6608564042439676
ALL_049_F_ENG_ENG_HT1_S034,6,0.8560386196491913
ALL_049_F_ENG_ENG_HT1_S034,8,0.8949769464816428
ALL_049_F_ENG_ENG_HT1_S034,n4,0.6158371160049125
ALL_049_F_ENG_ENG_HT1_S035,0,0.6582795780081012
ALL_049_F_ENG_ENG_HT1_S035,4,0.7748463119621942
ALL_049_F_ENG_ENG_HT1_S035,2,0.717369142249196
ALL_049_F_ENG_ENG_HT1_S035,8,0.8750779536285963
ALL_049_F_ENG_ENG_HT1_S035,6,0.8285753850964881
ALL_049_F_ENG_ENG_HT1_S035,n2,0.5996621224707357
ALL_049_F_ENG_ENG_HT1_S036,0,0.624717671290269
ALL_049_F_ENG_ENG_HT1_S036,4,0.7532527271246033
ALL_049_F_ENG_ENG_HT1_S035,n4,0.5430912006723974
ALL_049_F_ENG_ENG_HT1_S036,2,0.6912380086653368
ALL_049_F_ENG_ENG_HT1_S036,n2,0.5595409838634197
ALL_049_F_ENG_ENG_HT1_S036,6,0.8070371259785316
ALL_049_F_ENG_ENG_HT1_S036,8,0.8514367318482872
ALL_049_F_ENG_ENG_HT1_S036,n4,0.5006287894925714
ALL_049_F_ENG_ENG_HT1_S037,0,0.6221688238084239
ALL_049_F_ENG_ENG_HT1_S037,2,0.6810238771320707
ALL_049_F_ENG_ENG_HT1_S037,4,0.7372362977932533
ALL_049_F_ENG_ENG_HT1_S037,n2,0.5627203417107689
ALL_049_F_ENG_ENG_HT1_S037,8,0.8351185069614866
ALL_049_F_ENG_ENG_HT1_S037,6,0.7891650052015743
ALL_049_F_ENG_ENG_HT1_S037,n4,0.5053597422857335
ALL_049_F_ENG_ENG_HT1_S038,0,0.689997413995775
ALL_049_F_ENG_ENG_HT1_S038,2,0.7452848183720598
ALL_049_F_ENG_ENG_HT1_S038,4,0.8007037858588586
ALL_049_F_ENG_ENG_HT1_S038,6,0.851636351525822
ALL_049_F_ENG_ENG_HT1_S038,8,0.8944556077015553
ALL_049_F_ENG_ENG_HT1_S038,n2,0.6370600821057596
ALL_049_F_ENG_ENG_HT1_S038,n4,0.587694513576735
ALL_049_F_ENG_ENG_HT1_S039,0,0.6245266014068416
ALL_049_F_ENG_ENG_HT1_S039,2,0.687938460750544
ALL_049_F_ENG_ENG_HT1_S039,4,0.7503543202765766
ALL_049_F_ENG_ENG_HT1_S039,6,0.8090415432711795
ALL_049_F_ENG_ENG_HT1_S039,n2,0.5632392674744077
ALL_049_F_ENG_ENG_HT1_S039,8,0.8612200056962909
ALL_049_F_ENG_ENG_HT1_S039,n4,0.5079277360830562
ALL_049_F_ENG_ENG_HT1_S040,0,0.7735466600047569
ALL_049_F_ENG_ENG_HT1_S040,2,0.8174597395243275
ALL_049_F_ENG_ENG_HT1_S040,4,0.8571026703276896
ALL_049_F_ENG_ENG_HT1_S040,6,0.8912407974424784
ALL_049_F_ENG_ENG_HT1_S041,2,0.7852151288929493
ALL_049_F_ENG_ENG_HT1_S041,0,0.7332920725181551
ALL_049_F_ENG_ENG_HT1_S040,8,0.9197895913211533
ALL_049_F_ENG_ENG_HT1_S040,n4,0.6826925887877305
ALL_049_F_ENG_ENG_HT1_S040,n2,0.727588066726499
ALL_049_F_ENG_ENG_HT1_S041,4,0.8323126905265301
ALL_049_F_ENG_ENG_HT1_S041,n2,0.6793089532576496
ALL_049_F_ENG_ENG_HT1_S041,6,0.8727894654387437
ALL_049_F_ENG_ENG_HT1_S042,4,0.8126559246400828
ALL_049_F_ENG_ENG_HT1_S042,0,0.7234913702208108
ALL_049_F_ENG_ENG_HT1_S041,8,0.9059027489440066
ALL_049_F_ENG_ENG_HT1_S042,6,0.8526952782208944
ALL_049_F_ENG_ENG_HT1_S041,n4,0.6263625717432707
ALL_049_F_ENG_ENG_HT1_S042,2,0.7689721593285404
ALL_049_F_ENG_ENG_HT1_S042,8,0.8873204532924991
ALL_049_F_ENG_ENG_HT1_S042,n2,0.6784231591201894
ALL_049_F_ENG_ENG_HT1_S042,n4,0.6357286062492126
ALL_049_F_ENG_ENG_HT1_S043,0,0.7482032784527154
ALL_049_F_ENG_ENG_HT1_S043,2,0.7956327788103923
ALL_049_F_ENG_ENG_HT1_S043,4,0.837947133093941
ALL_049_F_ENG_ENG_HT1_S043,6,0.8751525317431498
ALL_049_F_ENG_ENG_HT1_S043,8,0.9066549249511294
ALL_049_F_ENG_ENG_HT1_S043,n4,0.6422819880196242
ALL_049_F_ENG_ENG_HT1_S043,n2,0.6962292681061216
ALL_049_F_ENG_ENG_HT1_S044,0,0.6149902561201708
ALL_049_F_ENG_ENG_HT1_S044,2,0.6601796981932322
ALL_049_F_ENG_ENG_HT1_S044,6,0.7515832484632303
ALL_049_F_ENG_ENG_HT1_S044,4,0.7059908963125707
ALL_049_F_ENG_ENG_HT1_S044,8,0.795484397642907
ALL_049_F_ENG_ENG_HT1_S044,n2,0.5714233794120348
ALL_049_F_ENG_ENG_HT1_S044,n4,0.530648589390412
ALL_049_F_ENG_ENG_HT1_S045,0,0.7583175958309264
ALL_049_F_ENG_ENG_HT1_S045,2,0.8099611793824272
ALL_049_F_ENG_ENG_HT1_S045,4,0.8574732094707049
ALL_049_F_ENG_ENG_HT1_S045,6,0.8980959265563797
ALL_049_F_ENG_ENG_HT1_S045,8,0.9301007771508463
ALL_049_F_ENG_ENG_HT1_S045,n2,0.7040341509652495
ALL_049_F_ENG_ENG_HT1_S046,0,0.8035095836339787
ALL_049_F_ENG_ENG_HT1_S045,n4,0.6480680471886324
ALL_049_F_ENG_ENG_HT1_S046,8,0.9355751928507731
ALL_049_F_ENG_ENG_HT1_S046,4,0.8796697190559563
ALL_049_F_ENG_ENG_HT1_S046,n4,0.7158777510784897
ALL_049_F_ENG_ENG_HT1_S046,6,0.9105596882141037
ALL_049_F_ENG_ENG_HT1_S046,2,0.8435370243401954
ALL_049_F_ENG_ENG_HT1_S046,n2,0.7603961204655643
ALL_049_F_ENG_ENG_HT1_S047,6,0.843687370664764
ALL_049_F_ENG_ENG_HT1_S047,4,0.7996059398242419
ALL_049_F_ENG_ENG_HT1_S047,0,0.6971868972696351
ALL_049_F_ENG_ENG_HT1_S047,2,0.750620496604866
ALL_049_F_ENG_ENG_HT1_S047,n4,0.5829939821029435
ALL_049_F_ENG_ENG_HT1_S047,8,0.881974453938006
ALL_049_F_ENG_ENG_HT1_S047,n2,0.6404204402834688
ALL_049_F_ENG_ENG_HT1_S048,2,0.7872080476440424
ALL_049_F_ENG_ENG_HT1_S048,0,0.7378471590382054
ALL_049_F_ENG_ENG_HT1_S048,4,0.833214914068819
ALL_049_F_ENG_ENG_HT1_S048,n2,0.688364894504024
ALL_049_F_ENG_ENG_HT1_S048,6,0.8729237426566369
ALL_049_F_ENG_ENG_HT1_S048,8,0.9052857680414441
ALL_049_F_ENG_ENG_HT1_S048,n4,0.6410744294604669
ALL_049_F_ENG_ENG_HT1_S049,0,0.6889861882912188
ALL_049_F_ENG_ENG_HT1_S049,4,0.8046475505407872
ALL_049_F_ENG_ENG_HT1_S049,8,0.8925029144603354
ALL_049_F_ENG_ENG_HT1_S049,6,0.8525596113525774
ALL_049_F_ENG_ENG_HT1_S049,2,0.7495998850486613
ALL_049_F_ENG_ENG_HT1_S049,n2,0.6261702210367349
ALL_049_F_ENG_ENG_HT1_S049,n4,0.565186940323909
ALL_049_F_ENG_ENG_HT1_S050,0,0.7217248924961357
ALL_049_F_ENG_ENG_HT1_S050,4,0.8289524866770258
ALL_049_F_ENG_ENG_HT1_S050,2,0.7779062345862503
